"Año","Mes","Región","Inflación mensual general"
"2008","2008/01/01 00:00:00","SIERRA","0,0106225"
"2008","2008/02/01 00:00:00","AMBATO","0,01255421"
"2008","2008/02/01 00:00:00","COSTA ","0,01034933"
"2008","2008/02/01 00:00:00","CUENCA","0,00496999"
"2008","2008/02/01 00:00:00","ESMERALDAS","0,00753608"
"2008","2008/02/01 00:00:00","GUAYAQUIL ","0,00982307"
"2008","2008/02/01 00:00:00","LOJA","0,00663145"
"2008","2008/02/01 00:00:00","MACHALA ","0,02611341"
"2008","2008/02/01 00:00:00","MANTA ","0,01021379"
"2008","2008/02/01 00:00:00","NACIONAL","0,00943565"
"2008","2008/02/01 00:00:00","QUITO ","0,00868308"
"2008","2008/02/01 00:00:00","SIERRA","0,00866535"
"2008","2008/03/01 00:00:00","AMBATO","0,01317091"
"2008","2008/03/01 00:00:00","COSTA ","0,016054"
"2008","2008/03/01 00:00:00","CUENCA","0,00994187"
"2008","2008/03/01 00:00:00","ESMERALDAS","0,02305989"
"2008","2008/03/01 00:00:00","GUAYAQUIL ","0,01372748"
"2008","2008/03/01 00:00:00","LOJA","0,0147674"
"2008","2008/03/01 00:00:00","MACHALA ","0,0201095"
"2008","2008/03/01 00:00:00","MANTA ","0,01428969"
"2008","2008/03/01 00:00:00","NACIONAL","0,01479605"
"2008","2008/03/01 00:00:00","QUITO ","0,01419609"
"2008","2008/03/01 00:00:00","SIERRA","0,01373373"
"2008","2008/04/01 00:00:00","AMBATO","0,0103328"
"2008","2008/04/01 00:00:00","COSTA ","0,02052029"
"2008","2008/04/01 00:00:00","CUENCA","0,0084771"
"2008","2008/04/01 00:00:00","ESMERALDAS","0,03114692"
"2008","2008/04/01 00:00:00","GUAYAQUIL ","0,01327096"
"2008","2008/04/01 00:00:00","LOJA","0,01791406"
"2008","2008/04/01 00:00:00","MACHALA ","0,01789123"
"2008","2008/04/01 00:00:00","MANTA ","0,03035559"
"2008","2008/04/01 00:00:00","NACIONAL","0,01518316"
"2008","2008/04/01 00:00:00","QUITO ","0,00865748"
"2008","2008/04/01 00:00:00","SIERRA","0,01066571"
"2008","2008/05/01 00:00:00","AMBATO","0,01883442"
"2008","2008/05/01 00:00:00","COSTA ","0,00660379"
"2008","2008/05/01 00:00:00","CUENCA","0,01779634"
"2008","2008/05/01 00:00:00","ESMERALDAS","-0,00224867"
"2008","2008/05/01 00:00:00","GUAYAQUIL ","0,0112813"
"2008","2008/05/01 00:00:00","LOJA","0,01504328"
"2008","2008/05/01 00:00:00","MACHALA ","-0,007442"
"2008","2008/05/01 00:00:00","MANTA ","0,00688768"
"2008","2008/05/01 00:00:00","NACIONAL","0,01048818"
"2008","2008/05/01 00:00:00","QUITO ","0,01104465"
"2008","2008/05/01 00:00:00","SIERRA","0,01380807"
"2008","2008/06/01 00:00:00","AMBATO","0,00998856"
"2008","2008/06/01 00:00:00","COSTA ","0,00777295"
"2008","2008/06/01 00:00:00","CUENCA","0,00585867"
"2008","2008/06/01 00:00:00","ESMERALDAS","0,00341638"
"2008","2008/06/01 00:00:00","GUAYAQUIL ","0,01064738"
"2008","2008/06/01 00:00:00","LOJA","0,00000239"
"2008","2008/06/01 00:00:00","MACHALA ","0,00508004"
